분기,피자 이름,총주문수량
가을(9~11월), Brie Carre Pizza,129
가을(9~11월), Spinach Supreme Pizza,224
가을(9~11월), Chicken Alfredo Pizza,235
가을(9~11월), Soppressata Pizza,237
가을(9~11월), Chicken Pesto Pizza,238
겨울(12~2월), Brie Carre Pizza,112
겨울(12~2월), Soppressata Pizza,215
겨울(12~2월), Chicken Alfredo Pizza,224
겨울(12~2월), Spinach Pesto Pizza,226
겨울(12~2월), Mediterranean Pizza,235
봄(3~5월), Brie Carre Pizza,127
봄(3~5월), Calabrese Pizza,215
봄(3~5월), Mediterranean Pizza,234
봄(3~5월), Spinach Supreme Pizza,242
봄(3~5월), Italian Vegetables Pizza,246
여름(6~8월), Brie Carre Pizza,122
여름(6~8월), Mediterranean Pizza,227
여름(6~8월), Calabrese Pizza,232
여름(6~8월), Chicken Pesto Pizza,235
여름(6~8월), Italian Vegetables Pizza,236
