분기,피자 이름,총주문수량
가을(9~11월), Classic Deluxe Pizza,629
가을(9~11월), Hawaiian Pizza,612
가을(9~11월), Barbecue Chicken Pizza,604
가을(9~11월), Thai Chicken Pizza,596
가을(9~11월), Pepperoni Pizza,589
가을(9~11월), California Chicken Pizza,565
가을(9~11월), Southwest Chicken Pizza,503
가을(9~11월), Four Cheese Pizza,497
가을(9~11월), Sicilian Pizza,492
가을(9~11월), Big Meat Pizza,467
가을(9~11월), Spicy Italian Pizza,453
가을(9~11월), Italian Supreme Pizza,452
가을(9~11월), Mexicana Pizza,389
가을(9~11월), Pepper Salami Pizza,377
가을(9~11월), Greek Pizza,373
가을(9~11월), Prosciutto and Arugula Pizza,372
가을(9~11월), Vegetables + Vegetables Pizza,364
가을(9~11월), Napolitana Pizza,360
가을(9~11월), Five Cheese Pizza,341
가을(9~11월), Italian Capocollo Pizza,328
겨울(12~2월), California Chicken Pizza,605
겨울(12~2월), Pepperoni Pizza,601
겨울(12~2월), Barbecue Chicken Pizza,594
겨울(12~2월), Classic Deluxe Pizza,575
겨울(12~2월), Hawaiian Pizza,571
겨울(12~2월), Thai Chicken Pizza,569
겨울(12~2월), Sicilian Pizza,485
겨울(12~2월), Four Cheese Pizza,454
겨울(12~2월), Italian Supreme Pizza,451
겨울(12~2월), Southwest Chicken Pizza,433
겨울(12~2월), Big Meat Pizza,430
겨울(12~2월), Spicy Italian Pizza,427
겨울(12~2월), Vegetables + Vegetables Pizza,403
겨울(12~2월), Italian Capocollo Pizza,378
겨울(12~2월), Prosciutto and Arugula Pizza,364
겨울(12~2월), Five Cheese Pizza,345
겨울(12~2월), Pepper Salami Pizza,345
겨울(12~2월), Napolitana Pizza,341
겨울(12~2월), Spinach and Feta Pizza,340
겨울(12~2월)," Pepperoni, Mushroom, and Peppers Pizza",339
봄(3~5월), Barbecue Chicken Pizza,639
봄(3~5월), Hawaiian Pizza,635
봄(3~5월), Classic Deluxe Pizza,630
봄(3~5월), Thai Chicken Pizza,610
봄(3~5월), Pepperoni Pizza,608
봄(3~5월), California Chicken Pizza,578
봄(3~5월), Spicy Italian Pizza,508
봄(3~5월), Big Meat Pizza,506
봄(3~5월), Four Cheese Pizza,504
봄(3~5월), Italian Supreme Pizza,499
봄(3~5월), Southwest Chicken Pizza,486
봄(3~5월), Sicilian Pizza,476
봄(3~5월), Spinach and Feta Pizza,403
봄(3~5월), Vegetables + Vegetables Pizza,386
봄(3~5월), Mexicana Pizza,376
봄(3~5월), Pepper Salami Pizza,374
봄(3~5월), Italian Capocollo Pizza,373
봄(3~5월), Napolitana Pizza,368
봄(3~5월), Greek Pizza,358
봄(3~5월)," Pepperoni, Mushroom, and Peppers Pizza",346
여름(6~8월), California Chicken Pizza,622
여름(6~8월), Pepperoni Pizza,620
여름(6~8월), Classic Deluxe Pizza,619
여름(6~8월), Hawaiian Pizza,604
여름(6~8월), Thai Chicken Pizza,596
여름(6~8월), Barbecue Chicken Pizza,595
여름(6~8월), Spicy Italian Pizza,536
여름(6~8월), Big Meat Pizza,511
여름(6~8월), Southwest Chicken Pizza,495
여름(6~8월), Sicilian Pizza,485
여름(6~8월), Italian Supreme Pizza,482
여름(6~8월), Four Cheese Pizza,447
여름(6~8월), Napolitana Pizza,395
여름(6~8월), Spinach and Feta Pizza,385
여름(6~8월), Mexicana Pizza,384
여름(6~8월), Five Cheese Pizza,380
여름(6~8월), Prosciutto and Arugula Pizza,380
여름(6~8월), Vegetables + Vegetables Pizza,373
여름(6~8월), Italian Capocollo Pizza,359
여름(6~8월)," Pepperoni, Mushroom, and Peppers Pizza",358
