분기,피자 이름,총주문수량
가을(9~11월),The Classic Deluxe Pizza,629
가을(9~11월),The Hawaiian Pizza,612
가을(9~11월),The Barbecue Chicken Pizza,604
가을(9~11월),The Thai Chicken Pizza,596
가을(9~11월),The Pepperoni Pizza,589
가을(9~11월),The California Chicken Pizza,565
가을(9~11월),The Southwest Chicken Pizza,503
가을(9~11월),The Four Cheese Pizza,497
가을(9~11월),The Sicilian Pizza,492
가을(9~11월),The Big Meat Pizza,467
겨울(12~2월),The California Chicken Pizza,605
겨울(12~2월),The Pepperoni Pizza,601
겨울(12~2월),The Barbecue Chicken Pizza,594
겨울(12~2월),The Classic Deluxe Pizza,575
겨울(12~2월),The Hawaiian Pizza,571
겨울(12~2월),The Thai Chicken Pizza,569
겨울(12~2월),The Sicilian Pizza,485
겨울(12~2월),The Four Cheese Pizza,454
겨울(12~2월),The Italian Supreme Pizza,451
겨울(12~2월),The Southwest Chicken Pizza,433
봄(3~5월),The Barbecue Chicken Pizza,639
봄(3~5월),The Hawaiian Pizza,635
봄(3~5월),The Classic Deluxe Pizza,630
봄(3~5월),The Thai Chicken Pizza,610
봄(3~5월),The Pepperoni Pizza,608
봄(3~5월),The California Chicken Pizza,578
봄(3~5월),The Spicy Italian Pizza,508
봄(3~5월),The Big Meat Pizza,506
봄(3~5월),The Four Cheese Pizza,504
봄(3~5월),The Italian Supreme Pizza,499
여름(6~8월),The California Chicken Pizza,622
여름(6~8월),The Pepperoni Pizza,620
여름(6~8월),The Classic Deluxe Pizza,619
여름(6~8월),The Hawaiian Pizza,604
여름(6~8월),The Thai Chicken Pizza,596
여름(6~8월),The Barbecue Chicken Pizza,595
여름(6~8월),The Spicy Italian Pizza,536
여름(6~8월),The Big Meat Pizza,511
여름(6~8월),The Southwest Chicken Pizza,495
여름(6~8월),The Sicilian Pizza,485
